,id,Video,ahash,phash,dhash,whash,colorhash,a,lc,ham_dist,dif
43,d41,augment32,38481c9e9f8fcfeb,dd4ae38f8e1c0574,7399b03038121696,30480c1e9e8fcfeb,00c00008000,10,17,0.359375,1
44,d42,augment33,00fb9f9f1f8e86fb,9e41601fcf761a6c,06023079793d2c33,00f09f9f1f0e82f9,00c00008000,10,16,0.203125,1
45,d43,augment34,000c1278f9f3e7ff,8d5db660c925aca7,ca38e6f2e3a78ed8,000c107879f3d7ff,01c00008000,10,17,0.484375,1
46,d44,augment35,20f0fffdf90180e4,e9167429c22da9f6,478022e1c193160c,20f0fffdf90180e4,00c00008000,11,17,0.5,1
47,d45,augment36,00067af8f9f1c7ff,cd15b26ec925c479,9ebcf2f2a3220eb8,00067878f8f0c7ff,00c00008000,10,17,0.4375,1
48,d46,augment37,000c127979f3f7ff,8d5a927a5b654536,993966f3e3d7c65c,000c10787973f7ff,01c00008000,10,15,0.421875,-1
49,d47,augment38,00007af8f8a0cfff,cd13b26fc934c788,d95cd2b2a24216a0,00007af8f8e0cfff,01c00008000,10,17,0.4375,1
50,d48,augment39,20708c9f9f8feff3,9d00612b8e3fb973,c7d1b838781a0a86,00100c1f9f8feff3,00c00008000,10,16,0.265625,1
51,d49,augment40,00265f1f1f05417f,b846673a8d65b869,6fccb4b2b9bd97db,00365f1f1f07417f,00c00000000,10,16,0.28125,-1
52,d50,augment41,00305e1e1fcfe7ff,9803673fbc739930,42c090b0b2ba8ac6,00304e1e1f4fc7fb,00c00008000,10,16,0.203125,-1
53,d51,augment42,00067af9f9f1cfff,cd14b66ec931c4d9,02bcf2f3a3221eb0,00025af8f8b0cfff,01c00008000,10,17,0.453125,1
54,d52,augment43,0707cbe7e5e9f979,a3360f3216947bcb,ed9f9b8c89cbdbe3,0707c3c7c5e17939,6600600000,143,572,0.46875,-1
55,d53,augment44,e0e2c3e7a79797de,f463596743c16e98,4a24260e2f242430,e0c0c3e7a383979e,6600640000,145,581,0.3125,-1
56,d54,augment45,82c707c3e3b39bcf,bd33184f511e46ba,3e9e4f568b67331c,024707c3e3b19bcf,07c00200000,156,624,0.40625,1
57,d55,augment46,00e1e3e1c7cbf327,e24a4f1932cc3bb6,09c38f858c3bc74c,00e1e3e1c7c9f327,6600400000,143,573,0.453125,-1
58,d56,augment47,1f170fcde5e4febe,92289d62ebd98787,3ab5bc998d8d2472,1f170f01e4e4f43e,6600400000,157,626,0.4375,1
59,d57,augment48,06074703e3918fce,b5171a4f431c62f3,7c1e8e56cb23329c,0607c783e3d18fce,07c00440000,156,623,0.390625,1
60,d58,augment49,070b47e7e1e57d78,a3350f63d28373c9,5f9f9e8d8bc9c9e1,070b47e7e1e17938,6600600000,156,623,0.375,1
61,d59,augment50,61c7e1e7c7cdd9fb,e8364d3ba5496b61,c38d1d958c9993c3,01c5c1c7c7c5d9f1,06c00240000,143,571,0.484375,-1
62,d60,augment51,80e303e3e3339b9f,ad611c6ff01c2eac,364e47164b662638,80e383c3e3239b9f,07c00400000,156,623,0.375,1
63,d61,augment52,17078fc5e4e4e67e,f6280566c87699f3,b7763c2d0d044cec,170707c5e4e4e47e,07c00400000,156,623,0.390625,1
64,d62,augment53,e0e0a3e323233f1f,a7605e43f1b0279b,8b2727974e466468,c0e1a3e323233f1f,7600400000,153,611,0.1875,1
65,d63,augment54,e083e3e7a3a3979f,a6615c46d1e69765,2c2606ce4f6e2624,c082e3e7a383879f,06c00240000,155,619,0.3125,1
66,d64,augment55,8f87c787e3f3cfe7,b71f1a4c471866f1,7c1c0c564e27920c,06878783e3d3cfc4,06c00240000,143,572,0.46875,-1
67,d65,augment56,0343e1e7e7c9f97b,e1360d3b34ec39cc,96cf8b8c8f9bd3f2,0303e1e7c7c1e93b,6600600000,143,571,0.484375,-1
68,d66,augment57,0f0bcfc7e5e57c7c,b2350d23d1b373c9,df379e8d894dc9e1,070307c7e5e56c7c,6600600000,156,623,0.390625,1
69,d67,augment58,070bc7e7e5e57979,a3350f23569373c9,4d9f9f8d89c9cbe1,070b43e7e5e16978,6600600000,144,577,0.390625,-1
70,d68,augment59,e0e0e3e323273f3f,a7605e0773f0269e,8c2727874e4e6c78,e0e0c1e323273f3e,7600400000,154,615,0.25,1
71,d69,augment60,f0e0f2a3a7a73f3e,e76c403f8ce7a494,061106666c4d48f0,f0e0e0a3a7a72e3c,6600600000,144,575,0.421875,-1
72,d70,augment61,fce8f0a0274f7f3d,c35ed8b00fdd7484,20896063de9eda61,f8e0f02007477f3d,6600440000,141,565,0.578125,-1
73,d71,augment62,0367e3e7e749fb33,e1360d3916ed29e5,46cfcb8c8f9bd2e6,0243e3e7c7496b33,6600600000,142,569,0.515625,-1
74,d72,augment63,2f270c04c2e3f3fe,b61b8be5544a7998,ef4eb92c0606a6bc,0f270c04c2e3f3fe,07c00240000,157,627,0.453125,1
75,d73,augment64,80c787e7e3939bce,b427586c513c3eb5,3c4e4e5e8e263698,800387e7e3939bce,06c00240000,144,575,0.421875,-1
76,d74,augment65,f8e8f0216347ef7e,e34bdab00feb44c4,4189434bdf9f99e0,e8e0f0214347ef3e,07c00440000,158,633,0.546875,1
77,d75,augment66,17178f84e4e2f6fe,b60a8d655a7eb8b0,26f6392d04844464,17070f84c4e2e6fe,07c00240000,157,626,0.4375,1
